ABILIFY 1 MG/ML ORAL SOLUSYON 150 ML,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,16.43
ABILIFY 10 MG 28 TABLET,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,20.44
ABILIFY 15 MG 28 TABLET,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,20.44
ABILIFY 30 MG 28 TABLET,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,42.16
ABILIFY 5 MG 28 TABLET,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,15.34
ABILIFY MAINTENA 400 MG UZUN SALIMLI IM ENJEKSIYONLUK 1 FLAKON,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,170.41
ABITIGA 250 MG FILM KAPLI TABLET,TEVA İLAÇLARI SANAYİ VE TİCARET A.Ş,1611.52
"ACCUZIDE 20 MG/12,5 MG 30 FILM TABLET",PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,3.0
ACCUZIDE FORT 20 MG/25 MG 30 FILM KAPLI TABLET,PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,5.18
"ACNELYSE %0,025 KREM (20 G)",ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,15.96
"ACNELYSE %0,05 KREM",ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,15.96
"ACNELYSE %0,1 KREM",ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,15.96
ACTIFED 150 ML SURUP,GLAXOSMİTHKLİNE İLAÇLARI SAN. VE TİC. A.Ş.,6.3
ACTIFED 60 MG 30 TABLET,GLAXOSMİTHKLİNE İLAÇLARI SAN. VE TİC. A.Ş.,4.63
ACTILYSE 10 MG 1 FLAKON,BOEHRİNGER INGELHEİM İLAÇ TİCARET A.Ş.,143.18
ACTILYSE 50 MG 1 FLAKON,BOEHRİNGER INGELHEİM İLAÇ TİCARET A.Ş.,600.0
ACTIVELLE 28 FILM TABLET,NOVO NORDİSK SAĞLIK ÜRÜNLERİ TİC. LTD. ŞTİ.,5.31
ACTRAPID HM 100 IU/ML DERIALTI VE IV KULLANIM ICIN ENJ. COZELTI ICEREN 1 FLAKON,NOVO NORDİSK SAĞLIK ÜRÜNLERİ TİC. LTD. ŞTİ.,8.33
ACTRAPID HM PENFILL 100/3 IU/ML 5 PENFILL,NOVO NORDİSK SAĞLIK ÜRÜNLERİ TİC. LTD. ŞTİ.,17.54
ACUITEL 20 MG BOLUNEBILIR FILM KAPLI TABLET (20 TABLET),PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,2.0
"ACULAR LS STERIL GOZ DAMLASI %0,4 5 ML",ABBVİE TIBBİ İLAÇLAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ,3.46
ADALAT CRONO 30 MG 20 KONTROLLU SALIM TABLETI,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,6.48
"ADEMPAS 0,5 MG 42 FILM KAPLI TABLET",BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,588.21
ADEMPAS 1 MG 42 FILM KAPLI TABLET,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,588.21
"ADEMPAS 1,5 MG 42 FILM KAPLI TABLET",BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,588.21
ADEMPAS 2 MG 42 FILM KAPLI TABLET,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,588.21
"ADEMPAS 2,5 MG 42 FILM KAPLI TABLET",BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,588.21
ADENURIC 120 MG 28 FILM KAPLI TABLET,MENARİNİ İLAÇ SANAYİ VE TİCARET A.Ş.,12.7
ADENURIC 80 MG 28 FILM KAPLI TABLET,MENARİNİ İLAÇ SANAYİ VE TİCARET A.Ş.,8.46
"ADMIRAZ 0,25 MG FILM KAPLI TABLET (12 TABLET)",FARMANOVA SAĞLIK HİZMETLERİ LTD.ŞTİ,153.83
"ADMIRAZ 0,25 MG FILM KAPLI TABLET (84 TABLET)",FARMANOVA SAĞLIK HİZMETLERİ LTD.ŞTİ,1387.5
